[15687199, 369121]
Loading pretrained model:models/backbones/pretrained/3x3resnet50-imagenet.pth


Nbr of trainable parameters: 50246080

Epoch 1 completed | Ls 0.1474 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1550 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1469 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1560 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1463 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1560 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1457 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1570 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1452 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1580 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1447 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1580 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1442 Lu 0.0067 Lw 0.0020 PW 0.0000 IoU_l 0.1590 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1438 Lu 0.0068 Lw 0.0020 PW 0.0000 IoU_l 0.1590 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1433 Lu 0.0068 Lw 0.0020 PW 0.0000 IoU_l 0.1600 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1428 Lu 0.0068 Lw 0.0020 PW 0.0000 IoU_l 0.1600 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1423 Lu 0.0068 Lw 0.0020 PW 0.0000 IoU_l 0.1610 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1417 Lu 0.0068 Lw 0.0020 PW 0.0000 IoU_l 0.1620 IoU_ul 0.0000
Epoch 1 completed | Ls 0.1412 Lu 0.0068 Lw 0.0020 PW 0.0000 IoU_l 0.1620 IoU_ul 0.0000
Epoch 2 completed | Ls 0.6718 Lu 0.0077 Lw 0.0019 PW 0.0000 IoU_l 0.1440 IoU_ul 0.0000
Epoch 2 completed | Ls 0.6157 Lu 0.0075 Lw 0.0019 PW 0.0000 IoU_l 0.1700 IoU_ul 0.0000
Epoch 2 completed | Ls 0.5435 Lu 0.0073 Lw 0.0019 PW 0.0000 IoU_l 0.1540 IoU_ul 0.0000
Epoch 2 completed | Ls 0.4951 Lu 0.0072 Lw 0.0020 PW 0.0000 IoU_l 0.1050 IoU_ul 0.0000
Epoch 2 completed | Ls 0.4726 Lu 0.0073 Lw 0.0020 PW 0.0000 IoU_l 0.0830 IoU_ul 0.0000
Epoch 2 completed | Ls 0.4584 Lu 0.0075 Lw 0.0020 PW 0.0000 IoU_l 0.0640 IoU_ul 0.0000
